objectid,filename,logo,title,description,website,latitude,longitude,format,subject,hrv,location,language,address,date,institution,provenance,access,Timestamp,Name of Institution,Description of the Institution,Logo or Picture,Origin,Type of Institution,Coverage (Human Rights Violations Vocabulary),Coverage (Keywords),Longitude (if they have a physical location),Lattitude (if they have a physical location),Website of the Institution,Has digitized materials available online?,Languages,Comments or Notes,Country,Physical Address (If available),Date of Establishment
id39,https://lh3.googleusercontent.com/d/1wc8EqGrmHXmT3gpXopdgtzOZVB6PtQsD,https://lh3.googleusercontent.com/d/1wc8EqGrmHXmT3gpXopdgtzOZVB6PtQsD,Nuclear Claims Tribunal of the Republic of the Marshall Islands (Fonds) at the Swiss Federal Archives,"In this project, swisspeace supported and trained the Marshall Islands Nuclear Claims Tribunal personnel in organizing, stabilizing, and digitizing its records.

The Marshall Islands Nuclear Claims Tribunal was formed to address damages to individuals affected by U.S. nuclear testing in the Marshall Islands in the 1940s and 1950s. swisspeace managed a grant from the Swiss Federal Department of Foreign Affairs to help preserve the Tribunal's records on affected individuals. As part of this effort, certified archivist Dr. Trudy Peterson and Swiss digital archivist Andreas Nef accompanied the archiving process.

Today, the digitized tribunal records are in permanent storage at the Swiss Federal Archives. (https://www.swisspeace.ch/articles/technical-assistance-for-preservation-of-the-records-of-the-nuclear-claims-tribunal-republic-of-the-marshall-islands)",https://www.recherche.bar.admin.ch/recherche/link/en/archive/unit/31720585,46.94049585,7.447432829,record,US Nuclear Testing Program; Marshall Islands;,Harms from Nuclear Testing,Switzerland; Europe,,"Archivstrasse 24, 3005 Bern, Switzerland",9/1/2015,"Public Library, Archives, or Museum","During process of pacification, transition, and establishing accountability",No,4/18/2025 17:16:36,Nuclear Claims Tribunal of the Republic of the Marshall Islands (Fonds) at the Swiss Federal Archives,"In this project, swisspeace supported and trained the Marshall Islands Nuclear Claims Tribunal personnel in organizing, stabilizing, and digitizing its records.

The Marshall Islands Nuclear Claims Tribunal was formed to address damages to individuals affected by U.S. nuclear testing in the Marshall Islands in the 1940s and 1950s. swisspeace managed a grant from the Swiss Federal Department of Foreign Affairs to help preserve the Tribunal's records on affected individuals. As part of this effort, certified archivist Dr. Trudy Peterson and Swiss digital archivist Andreas Nef accompanied the archiving process.

Today, the digitized tribunal records are in permanent storage at the Swiss Federal Archives. (https://www.swisspeace.ch/articles/technical-assistance-for-preservation-of-the-records-of-the-nuclear-claims-tribunal-republic-of-the-marshall-islands)",https://drive.google.com/open?id=1wc8EqGrmHXmT3gpXopdgtzOZVB6PtQsD,"During process of pacification, transition, and establishing accountability","Public Library, Archives, or Museum",Harms from Nuclear Testing,US Nuclear Testing Program; Marshall Islands;,46.94049585,7.447432829,https://www.recherche.bar.admin.ch/recherche/link/en/archive/unit/31720585,No,,,Switzerland; Europe,"Archivstrasse 24, 3005 Bern, Switzerland",9/1/2015
id40,https://lh3.googleusercontent.com/d/1ZZDlY-eAn7E3lDlCqiNegyg-DBJCrfxe,https://lh3.googleusercontent.com/d/1ZZDlY-eAn7E3lDlCqiNegyg-DBJCrfxe,Marshall Islands Nuclear Document Database,This database is a collection of declassified documents developed by the US Department of Energy (DOE) about the effects and consequences of nuclear testing in what is now the Republic of the Marshall Islands (and related topics). (https://data.nuclearsecrecy.com/mindd/?action=about),https://data.nuclearsecrecy.com/mindd/?action=browse,,,record,US Nuclear Testing Program; Marshall Islands;,Harms from Nuclear Testing,United States; North America,,,1/1/2013,"Community-led, family, or individuals",As bureaucratic records during the abuse,Yes,4/18/2025 17:19:42,Marshall Islands Nuclear Document Database,This database is a collection of declassified documents developed by the US Department of Energy (DOE) about the effects and consequences of nuclear testing in what is now the Republic of the Marshall Islands (and related topics). (https://data.nuclearsecrecy.com/mindd/?action=about),https://drive.google.com/open?id=1ZZDlY-eAn7E3lDlCqiNegyg-DBJCrfxe,As bureaucratic records during the abuse,"Community-led, family, or individuals",Harms from Nuclear Testing,US Nuclear Testing Program; Marshall Islands;,,,https://data.nuclearsecrecy.com/mindd/?action=browse,Yes,,,United States; North America,,1/1/2013
id41,https://lh3.googleusercontent.com/d/16NhpgUEnh9Lk8K5fZnJgl9hJDv1PI7z3,https://lh3.googleusercontent.com/d/16NhpgUEnh9Lk8K5fZnJgl9hJDv1PI7z3,Human Rights Documentation Initiative at the University of Texas Libraries,"The Human Rights Documentation Initiative is a collaborative post-custodial archival project aimed at preserving and promoting the use of fragile human rights records from around the world, in order to support human rights advocates working for the defense of vulnerable communities and individuals. The HRDI was established at the University of Texas Libraries with a generous grant from the Bridgeway Foundation in 2008. Additionally, the Human Rights Documentation Initiative has partnered with the Bernard and Audre Rapoport Center for Human Rights and Justice to identify key strategic issues for the Initiative as well as provide relevant programming to the UT community and beyond. (https://hrdi.lib.utexas.edu/hrdi/about/)",https://hrdi.lib.utexas.edu/hrdi/home/,30.28277455,-97.73720212,record,Post-Custodialism; Free Burma Rangers; Kigali Genocide Memorial; Latin American Communities,,United States; North America,,"Perry-Castañeda Library 101 East 21st Street Austin, Texas 78712, United States",1/1/2008,University or Research Institute,Multiple,Yes,4/18/2025 17:43:06,Human Rights Documentation Initiative at the University of Texas Libraries,"The Human Rights Documentation Initiative is a collaborative post-custodial archival project aimed at preserving and promoting the use of fragile human rights records from around the world, in order to support human rights advocates working for the defense of vulnerable communities and individuals. The HRDI was established at the University of Texas Libraries with a generous grant from the Bridgeway Foundation in 2008. Additionally, the Human Rights Documentation Initiative has partnered with the Bernard and Audre Rapoport Center for Human Rights and Justice to identify key strategic issues for the Initiative as well as provide relevant programming to the UT community and beyond. (https://hrdi.lib.utexas.edu/hrdi/about/)",https://drive.google.com/open?id=16NhpgUEnh9Lk8K5fZnJgl9hJDv1PI7z3,Multiple,University or Research Institute,,Post-Custodialism; Free Burma Rangers; Kigali Genocide Memorial; Latin American Communities,30.28277455,-97.73720212,https://hrdi.lib.utexas.edu/hrdi/home/,Yes,,,United States; North America,"Perry-Castañeda Library 101 East 21st Street Austin, Texas 78712, United States",1/1/2008
id42,https://lh3.googleusercontent.com/d/1vZPGIIr_4epq7p-yp95AaVIHvQp2-L7s,https://lh3.googleusercontent.com/d/1vZPGIIr_4epq7p-yp95AaVIHvQp2-L7s,Human Rights Documentation Initiative Web Archives,The University of Texas Libraries’ Human Rights Documentation Initiative Collection features fragile websites containing human rights documentation and related content from human rights organizations and advocates across the globe. (https://archive-it.org/collections/1475),https://hrdi.lib.utexas.edu/hrdi/web-archive/,30.28277455,-97.73720212,record,Web Archives,,United States; North America,,,4/1/2009,University or Research Institute,Multiple,Yes,4/18/2025 17:59:53,Human Rights Documentation Initiative Web Archives,The University of Texas Libraries’ Human Rights Documentation Initiative Collection features fragile websites containing human rights documentation and related content from human rights organizations and advocates across the globe. (https://archive-it.org/collections/1475),https://drive.google.com/open?id=1vZPGIIr_4epq7p-yp95AaVIHvQp2-L7s,Multiple,University or Research Institute,,Web Archives,30.28277455,-97.73720212,https://hrdi.lib.utexas.edu/hrdi/web-archive/,Yes,,,United States; North America,,4/1/2009
id43,https://lh3.googleusercontent.com/d/18CKIzb4QouLI98T2m_2pW0ZjpdSm6Am8,https://lh3.googleusercontent.com/d/18CKIzb4QouLI98T2m_2pW0ZjpdSm6Am8,Latin American Digital Initiatives,"Latin American Digital Initiatives (LADI) is a collaboration between LLILAS Benson Latin American Studies and Collections at The University of Texas at Austin, the University of Texas Libraries, and Latin American partner institutions to preserve and provide access to unique archival documentation from Latin America, with an emphasis on collections documenting human rights. (https://ladi.lib.utexas.edu/about/)",https://ladi.lib.utexas.edu/,30.28277455,-97.73720212,record,Post-Custodialism; LLILAS Benson; Latin American Communities,,United States; North America,,,1/1/2019,University or Research Institute,Multiple,Yes,4/18/2025 18:07:46,Latin American Digital Initiatives,"Latin American Digital Initiatives (LADI) is a collaboration between LLILAS Benson Latin American Studies and Collections at The University of Texas at Austin, the University of Texas Libraries, and Latin American partner institutions to preserve and provide access to unique archival documentation from Latin America, with an emphasis on collections documenting human rights. (https://ladi.lib.utexas.edu/about/)",https://drive.google.com/open?id=18CKIzb4QouLI98T2m_2pW0ZjpdSm6Am8,Multiple,University or Research Institute,,Post-Custodialism; LLILAS Benson; Latin American Communities,30.28277455,-97.73720212,https://ladi.lib.utexas.edu/,Yes,,,United States; North America,,1/1/2019
id44,https://lh3.googleusercontent.com/d/1klZzLCVHGtl13tVeDyIEicBmgfDVssd0,https://lh3.googleusercontent.com/d/1klZzLCVHGtl13tVeDyIEicBmgfDVssd0,"Archivo de los Derechos Humanos, Centro Nacional de Memoria Histórica","The National Center for Historical Memory is a public establishment of the national order, attached to the  Department for Social Prosperity (DPS) , whose purpose is the reception, recovery, conservation, compilation and analysis of all documentary material, oral testimonies and those obtained by any other means, related to the violations that occurred during the Colombian internal armed conflict, through research, museum activities, pedagogical activities, among others that contribute to establishing and clarifying the causes of such phenomena, knowing the truth and contributing to avoiding their repetition in the future. (https://centrodememoriahistorica.gov.co/contexto/)",https://centrodememoriahistorica.gov.co/,4.618934467,-74.06786563,record,Colombian Internal Armed Conflict,Internally displaced persons; Forced disappearance; torture; extrajudicial execution or other killing,Colombia; South America,,"Carrera 7 No 32-42 Pisos 30 y 31 Bogotá, Colombia",6/1/2011,"Public Library, Archives, or Museum","During process of pacification, transition, and establishing accountability",No,4/18/2025 18:47:33,"Archivo de los Derechos Humanos, Centro Nacional de Memoria Histórica","The National Center for Historical Memory is a public establishment of the national order, attached to the  Department for Social Prosperity (DPS) , whose purpose is the reception, recovery, conservation, compilation and analysis of all documentary material, oral testimonies and those obtained by any other means, related to the violations that occurred during the Colombian internal armed conflict, through research, museum activities, pedagogical activities, among others that contribute to establishing and clarifying the causes of such phenomena, knowing the truth and contributing to avoiding their repetition in the future. (https://centrodememoriahistorica.gov.co/contexto/)",https://drive.google.com/open?id=1klZzLCVHGtl13tVeDyIEicBmgfDVssd0,"During process of pacification, transition, and establishing accountability","Public Library, Archives, or Museum",Internally displaced persons; Forced disappearance; torture; extrajudicial execution or other killing,Colombian Internal Armed Conflict,4.618934467,-74.06786563,https://centrodememoriahistorica.gov.co/,No,Spanish,,Colombia; South America,"Carrera 7 No 32-42 Pisos 30 y 31 Bogotá, Colombia",6/1/2011
id45,https://lh3.googleusercontent.com/d/1WrdWLMwETnsMeBFASFrgPO00dHN1wjff,https://lh3.googleusercontent.com/d/1WrdWLMwETnsMeBFASFrgPO00dHN1wjff,South African History Archive,"The South African History Archive (SAHA) is an independent human rights archive dedicated to documenting, supporting and promoting greater awareness of past and contemporary struggles for justice through archival practices and outreach, and the utilisation of access to information laws. (https://www.saha.org.za/about_saha.htm)",https://www.saha.org.za/index.htm,-26.17784412,28.04370891,record,South African Truth and Reconciliation Commission,Apartheid,South Africa; Africa,,"Education Library, Jubilee Rd, Parktown, Johannesburg, 2193, South Africa",1/1/1988,University or Research Institute,"During process of pacification, transition, and establishing accountability",No,4/19/2025 22:53:57,South African History Archive,"The South African History Archive (SAHA) is an independent human rights archive dedicated to documenting, supporting and promoting greater awareness of past and contemporary struggles for justice through archival practices and outreach, and the utilisation of access to information laws. (https://www.saha.org.za/about_saha.htm)",https://drive.google.com/open?id=1WrdWLMwETnsMeBFASFrgPO00dHN1wjff,"During process of pacification, transition, and establishing accountability",University or Research Institute,Apartheid,South African Truth and Reconciliation Commission,-26.17784412,28.04370891,https://www.saha.org.za/index.htm,No,,,South Africa; Africa,"Education Library, Jubilee Rd, Parktown, Johannesburg, 2193, South Africa",1/1/1988
id46,https://lh3.googleusercontent.com/d/1GHRKnjEPfYWOUDI_OFWHNO7AwlQmT3jR,https://lh3.googleusercontent.com/d/1GHRKnjEPfYWOUDI_OFWHNO7AwlQmT3jR,Truth and Reconciliation Commission Archives at the National Archives and Records Service of South Africa,"Ownership currently resides with the National Department of Justice and Constitutional Development. Ownership of these records will revert to the National Archives once they become archival in nature (i.e. older than 20 years in terms of the NARSSA Act).

Therefore all requests for access to these records should be referred to the Department of Justice and not the National Archives. The Department of Justice evaluate and decide on all TRC requests and correspond with requesters directly.

Some records in the collection (for instance the video and sound recordings of the open hearings and transcripts of the hearings) are in the public domain and are immediately accessible to the public. The Department of Justice also maintains a TRC website with information on the TRC. (https://www.nationalarchives.gov.za/sites/default/files/u64/TRC%20and%20Access.pdf)",https://www.nationalarchives.gov.za/,-25.73644144,28.20566775,record,South African Truth and Reconciliation Commission,Apartheid,South Africa; Africa,,"24 Hamilton St, Prinshof 349-Jr, Pretoria, 0084, South Africa",1/1/2001,"Truth, Reparations, and/or Memorialization Commissions",As bureaucratic records during the abuse,No,4/19/2025 23:04:01,Truth and Reconciliation Commission Archives at the National Archives and Records Service of South Africa,"Ownership currently resides with the National Department of Justice and Constitutional Development. Ownership of these records will revert to the National Archives once they become archival in nature (i.e. older than 20 years in terms of the NARSSA Act).

Therefore all requests for access to these records should be referred to the Department of Justice and not the National Archives. The Department of Justice evaluate and decide on all TRC requests and correspond with requesters directly.

Some records in the collection (for instance the video and sound recordings of the open hearings and transcripts of the hearings) are in the public domain and are immediately accessible to the public. The Department of Justice also maintains a TRC website with information on the TRC. (https://www.nationalarchives.gov.za/sites/default/files/u64/TRC%20and%20Access.pdf)",https://drive.google.com/open?id=1GHRKnjEPfYWOUDI_OFWHNO7AwlQmT3jR,As bureaucratic records during the abuse,"Truth, Reparations, and/or Memorialization Commissions",Apartheid,South African Truth and Reconciliation Commission,-25.73644144,28.20566775,https://www.nationalarchives.gov.za/,No,,,South Africa; Africa,"24 Hamilton St, Prinshof 349-Jr, Pretoria, 0084, South Africa",1/1/2001
id47,https://lh3.googleusercontent.com/d/1RPz78gtuaKhFApyCbjlwlJft8qifILqb,https://lh3.googleusercontent.com/d/1RPz78gtuaKhFApyCbjlwlJft8qifILqb,Truth and Dignity Commission (Instance Vérité et Dignité) Archives at the National Archives of Tunisia,"The head of the archives department at the IVD, Belgacem Faleh, details the contents of these boxes, which are divided into three main categories. ""First there are the files of victims' complaints, which are contained in 6,851 archive boxes. Then there are the archives collected during the Commission's investigations, covering the entire period of its mandate, from 1955 to 2013. These documents are contained in 182 archive boxes. Finally, there are the archives produced by the IVD, namely the minutes of the meetings, decisions of the Council and the documents of the various commissions. They fill more than 750 boxes.”
(https://www.justiceinfo.net/en/43546-tunisia-battle-over-truth-commission-archives.html)",https://www.archives.nat.tn/fr/,36.79976198,10.16506237,record,Tunisian Revolution,Rape; Torture; Arbitrary imprisonment; Extrajudicial execution or other killing,Tunisia; Africa,,"1002, Boulevard du 9 Avril 1938, Tunis, Tunisia",1/1/2018,"Public Library, Archives, or Museum","During process of pacification, transition, and establishing accountability",No,4/21/2025 22:11:04,Truth and Dignity Commission (Instance Vérité et Dignité) Archives at the National Archives of Tunisia,"The head of the archives department at the IVD, Belgacem Faleh, details the contents of these boxes, which are divided into three main categories. ""First there are the files of victims' complaints, which are contained in 6,851 archive boxes. Then there are the archives collected during the Commission's investigations, covering the entire period of its mandate, from 1955 to 2013. These documents are contained in 182 archive boxes. Finally, there are the archives produced by the IVD, namely the minutes of the meetings, decisions of the Council and the documents of the various commissions. They fill more than 750 boxes.”
(https://www.justiceinfo.net/en/43546-tunisia-battle-over-truth-commission-archives.html)",https://drive.google.com/open?id=1RPz78gtuaKhFApyCbjlwlJft8qifILqb,"During process of pacification, transition, and establishing accountability","Public Library, Archives, or Museum",Rape; Torture; Arbitrary imprisonment; Extrajudicial execution or other killing,Tunisian Revolution,36.79976198,10.16506237,https://www.archives.nat.tn/fr/,No,French; Arabic,,Tunisia; Africa,"1002, Boulevard du 9 Avril 1938, Tunis, Tunisia",1/1/2018
id48,https://lh3.googleusercontent.com/d/1tbD2voWoURnvtpi0rdqGga3q9OIiJb6J,https://lh3.googleusercontent.com/d/1tbD2voWoURnvtpi0rdqGga3q9OIiJb6J,Documentation and Security Directorate (DDS) Archives at the N’Djaména Judicial Centre,"""Between August and September 2013, they visited the Piscine and the former DDS headquarters. There they retrieved the archives, packed into boxes as the victims’ association and the Belgian federal investigators had left them 11  years earlier. These archives were then transferred to the N’Djaména judicial centre, a building not far from the Chadian Ministry of Justice. For several months, librarians from the Chad National Museum classified the thousands of documents. (Thulliez, 2021, p.146)""

- Thulliez, H., Quintana, A. G., Boel, J., & Canavaggio, P. (2021). The exploitation of the archives of Hissène Habré’s political police by the Extraordinary African Chambers. In Archives and Human Rights (1st ed., pp. 138–151). Routledge. https://doi.org/10.4324/9780429054624-14
",,12.13018537,15.07808462,record,Hissène Habré Dictatorship; Documentation and Security Directorate (DDS) ,Torture; Rape; Inhumane prison,Chad; Africa,,"43HF+JM6, Djamena-Moundou, N'Djamena, Chad",9/1/2013,Tribunals and other courts,As bureaucratic records during the abuse,No,4/22/2025 16:27:52,Documentation and Security Directorate (DDS) Archives at the N’Djaména Judicial Centre,"""Between August and September 2013, they visited the Piscine and the former DDS headquarters. There they retrieved the archives, packed into boxes as the victims’ association and the Belgian federal investigators had left them 11  years earlier. These archives were then transferred to the N’Djaména judicial centre, a building not far from the Chadian Ministry of Justice. For several months, librarians from the Chad National Museum classified the thousands of documents. (Thulliez, 2021, p.146)""

- Thulliez, H., Quintana, A. G., Boel, J., & Canavaggio, P. (2021). The exploitation of the archives of Hissène Habré’s political police by the Extraordinary African Chambers. In Archives and Human Rights (1st ed., pp. 138–151). Routledge. https://doi.org/10.4324/9780429054624-14
",https://drive.google.com/open?id=1tbD2voWoURnvtpi0rdqGga3q9OIiJb6J,As bureaucratic records during the abuse,Tribunals and other courts,Torture; Rape; Inhumane prison,Hissène Habré Dictatorship; Documentation and Security Directorate (DDS) ,12.13018537,15.07808462,,No,French; Arabic,,Chad; Africa,"43HF+JM6, Djamena-Moundou, N'Djamena, Chad",9/1/2013
id49,https://lh3.googleusercontent.com/d/1Sv6-pvwr4x-1z8c0KARzQuEJCcqM2lm8,https://lh3.googleusercontent.com/d/1Sv6-pvwr4x-1z8c0KARzQuEJCcqM2lm8,Genocide Archive of Rwanda,"The Genocide Archive of Rwanda is the first of its kind in Rwanda. The collections include photographs, objects, audio recordings, video recordings, documents and publications as well as interactive mapping data.

The materials are preserved by international standards and are accessible locally to those who visit the archive and documentation department’s physical archive at the Kigali Genocide Memorial. The physical archive room is both temperature and humidity controlled to ensure items are stored safely. (https://genocidearchiverwanda.org.rw/about_us/Genocide_Archive_of_Rwanda)",https://genocidearchiverwanda.org.rw/,-1.931033789,30.05981559,record,Tutsi; Tutsi Genocide; Kigali Genocide Memorial; Gacaca archives,Genocide,Rwanda; Africa,,"KG 802 St, Kigali, Rwanda",12/10/2010,Human Rights and Non-government Organizations,"During process of pacification, transition, and establishing accountability",Yes,4/22/2025 17:15:22,Genocide Archive of Rwanda,"The Genocide Archive of Rwanda is the first of its kind in Rwanda. The collections include photographs, objects, audio recordings, video recordings, documents and publications as well as interactive mapping data.

The materials are preserved by international standards and are accessible locally to those who visit the archive and documentation department’s physical archive at the Kigali Genocide Memorial. The physical archive room is both temperature and humidity controlled to ensure items are stored safely. (https://genocidearchiverwanda.org.rw/about_us/Genocide_Archive_of_Rwanda)",https://drive.google.com/open?id=1Sv6-pvwr4x-1z8c0KARzQuEJCcqM2lm8,"During process of pacification, transition, and establishing accountability",Human Rights and Non-government Organizations,Genocide,Tutsi; Tutsi Genocide; Kigali Genocide Memorial; Gacaca archives,-1.931033789,30.05981559,https://genocidearchiverwanda.org.rw/,Yes,Kirwanda,,Rwanda; Africa,"KG 802 St, Kigali, Rwanda",12/10/2010
id50,https://lh3.googleusercontent.com/d/1DkjBTzDdLE5Qk-WZGJW-_s-XeVx-gFw4,https://lh3.googleusercontent.com/d/1DkjBTzDdLE5Qk-WZGJW-_s-XeVx-gFw4,Memorial Hall of the Victims in Nanjing Massacre by Japanese Invaders,"The Memorial Hall of the Victims in Nanjing Massacre by Japanese Invaders is a thematic memorial hall built on the site of Jiangdong Gate mass murder in the Nanjing Massacre, which was officially opened to the public on August 15, 1985. After more than 30 years of construction and development, it has grown into a ""National First-Class Museum"" with high international visibility.

The Memorial Hall covers a total area of 103,000 square meters, with a building area of 57,000 square meters and the exhibition area of 20,000 square meters. It has a large number of unique buildings  where  many primary-source of historical records, artifacts and photographs are displayed, supplemented by sculptures, public memorial square, cemetery square, victory square, peace park with historical significance, forming a rich memorial space.

(https://www.19371213.com.cn/en/about/museum/202007/t20200710_2236045.html)",https://www.19371213.com.cn/en/,32.0355931,118.7436619,record,Nanjing Massacre; UNESCO Memory of the World,Rape; War crimes,China; Asia,,"2PPV+69H, Chating E St, Jianye District, Nanjing, Jiangsu, China, 210017",8/15/1985,"Public Library, Archives, or Museum","During process of pacification, transition, and establishing accountability",No,4/22/2025 22:04:13,Memorial Hall of the Victims in Nanjing Massacre by Japanese Invaders,"The Memorial Hall of the Victims in Nanjing Massacre by Japanese Invaders is a thematic memorial hall built on the site of Jiangdong Gate mass murder in the Nanjing Massacre, which was officially opened to the public on August 15, 1985. After more than 30 years of construction and development, it has grown into a ""National First-Class Museum"" with high international visibility.

The Memorial Hall covers a total area of 103,000 square meters, with a building area of 57,000 square meters and the exhibition area of 20,000 square meters. It has a large number of unique buildings  where  many primary-source of historical records, artifacts and photographs are displayed, supplemented by sculptures, public memorial square, cemetery square, victory square, peace park with historical significance, forming a rich memorial space.

(https://www.19371213.com.cn/en/about/museum/202007/t20200710_2236045.html)",https://drive.google.com/open?id=1DkjBTzDdLE5Qk-WZGJW-_s-XeVx-gFw4,"During process of pacification, transition, and establishing accountability","Public Library, Archives, or Museum",Rape; War crimes,Nanjing Massacre; UNESCO Memory of the World,32.0355931,118.7436619,https://www.19371213.com.cn/en/,No,Chinese,,China; Asia,"2PPV+69H, Chating E St, Jianye District, Nanjing, Jiangsu, China, 210017",8/15/1985
id51,https://lh3.googleusercontent.com/d/13m5xrMUDjx2uinSiHpvAlFw6liXt18OL,https://lh3.googleusercontent.com/d/13m5xrMUDjx2uinSiHpvAlFw6liXt18OL,Records of the Pol Pot Regime at the National Archives of Cambodia,"The NAC holds the Commerce documents of Democratic Kampuchea, including treaties, loading bills, list of exports, shipping records and a vast archive of other documentation on the internal and external trade of the Khmers Rouges. Those commerce records containing i.e., Commodity exchange contract, inventory lists, rice, rubber, bones of wild animal, elephants’ ivory and logs etc.
Size of collection: 4 linear meters, 93 collections.
(https://nac.gov.kh/research-archives/our-collection)",https://nac.gov.kh/,11.57714525,104.9208763,record,Khmer Rouge; Pol Pot; Democratic Kampuchea Archives,Genocide; Rape; Torture; Forced Marriages,Cambodia; Asia,,"St.61 (Hing Pen), Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh, Cambodia",1/1/1979,"Public Library, Archives, or Museum",As bureaucratic records during the abuse,No,4/23/2025 18:11:03,Records of the Pol Pot Regime at the National Archives of Cambodia,"The NAC holds the Commerce documents of Democratic Kampuchea, including treaties, loading bills, list of exports, shipping records and a vast archive of other documentation on the internal and external trade of the Khmers Rouges. Those commerce records containing i.e., Commodity exchange contract, inventory lists, rice, rubber, bones of wild animal, elephants’ ivory and logs etc.
Size of collection: 4 linear meters, 93 collections.
(https://nac.gov.kh/research-archives/our-collection)",https://drive.google.com/open?id=13m5xrMUDjx2uinSiHpvAlFw6liXt18OL,As bureaucratic records during the abuse,"Public Library, Archives, or Museum",Genocide; Rape; Torture; Forced Marriages,Khmer Rouge; Pol Pot; Democratic Kampuchea Archives,11.57714525,104.9208763,https://nac.gov.kh/,No,Khmer,,Cambodia; Asia,"St.61 (Hing Pen), Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh, Cambodia",1/1/1979
id52,https://lh3.googleusercontent.com/d/1HwRaNCq9CN2jR0l99srDYzD_SJkOnT_V,https://lh3.googleusercontent.com/d/1HwRaNCq9CN2jR0l99srDYzD_SJkOnT_V,Khmer Rouge propaganda films at the Bophana Audiovisual Resource Center,"Bophana Center acquires film, television, photography and sound archives on Cambodia all around the world; and it gives free public access to this precious heritage. For Cambodians, it opens the door to huge swathes of their memory. Since it opened on December 4, 2006, over 240,000 people have (re)discovered these documents in Phnom Penh and throughout the country. For teachers, students, researchers or journalists, it is an exceptional documentary base. Today nearly 2070 hours of video and audio are available, including: the first movies of the Lumière brothers in the late nineteenth century; recent fictions by Cambodian directors; TV coverage; nonprofit movies; documentaries; Norodom Sihanouk’s movies; etc. Meanwhile, hundreds of archives are being organized and indexed.
(https://bophana.org/about/)",https://bophana.org/,11.56157843,104.9222307,record,Khmer Rouge Popaganda,Genocide,Cambodia; Asia,,"#64 street 200, 12211 Phnom Penh, Cambodia",12/4/2006,Human Rights and Non-government Organizations,As bureaucratic records during the abuse,No,4/23/2025 18:35:28,Khmer Rouge propaganda films at the Bophana Audiovisual Resource Center,"Bophana Center acquires film, television, photography and sound archives on Cambodia all around the world; and it gives free public access to this precious heritage. For Cambodians, it opens the door to huge swathes of their memory. Since it opened on December 4, 2006, over 240,000 people have (re)discovered these documents in Phnom Penh and throughout the country. For teachers, students, researchers or journalists, it is an exceptional documentary base. Today nearly 2070 hours of video and audio are available, including: the first movies of the Lumière brothers in the late nineteenth century; recent fictions by Cambodian directors; TV coverage; nonprofit movies; documentaries; Norodom Sihanouk’s movies; etc. Meanwhile, hundreds of archives are being organized and indexed.
(https://bophana.org/about/)",https://drive.google.com/open?id=1HwRaNCq9CN2jR0l99srDYzD_SJkOnT_V,As bureaucratic records during the abuse,Human Rights and Non-government Organizations,Genocide,Khmer Rouge Popaganda,11.56157843,104.9222307,https://bophana.org/,No,Khmer,,Cambodia; Asia,"#64 street 200, 12211 Phnom Penh, Cambodia",12/4/2006
id53,https://lh3.googleusercontent.com/d/1mpV9Zs3SP53NkA2H-ewZvG5jnHbVw3GU,https://lh3.googleusercontent.com/d/1mpV9Zs3SP53NkA2H-ewZvG5jnHbVw3GU,Consiliul Național pentru Studierea Arhivelor Securității (CNSAS),"The National Council for the Study of the Securitate Archives ( CNSAS ) is an institution established under Law 187/1999 with subsequent amendments, with the aim of making available to Romanian citizens the files and documents drawn up by the former Securitate until December 22 , 1989. Since November 2008, as a result of the lawsuit filed by Dan Voiculescu's lawyer, more precisely as a result of the procedural defects notified by the Constitutional Court, CNSAS has been operating under Government Emergency Ordinance no. 24, later assumed as law. (https://ro.wikipedia.org/wiki/Consiliul_Na%C8%9Bional_pentru_Studierea_Arhivelor_Securit%C4%83%C8%9Bii)",http://www.cnsas.ro/index.html,44.43078991,26.1173161,record,Securitate; Communist dictatorship; Secret police; European Network of Official Authorities in Charge of Secret Police Files,Forced disappearance; Arbitrary detention; Torture; Surveillance,Romania; Europe,,"Strada Matei Basarab 55-57, București 030671, Romania",12/07/1999,"Truth, Reparations, and/or Memorialization Commissions",As bureaucratic records during the abuse,No,5/3/2025 13:35:28,Consiliul Național pentru Studierea Arhivelor Securității (CNSAS),"The National Council for the Study of the Securitate Archives ( CNSAS ) is an institution established under Law 187/1999 with subsequent amendments, with the aim of making available to Romanian citizens the files and documents drawn up by the former Securitate until December 22 , 1989. Since November 2008, as a result of the lawsuit filed by Dan Voiculescu's lawyer, more precisely as a result of the procedural defects notified by the Constitutional Court, CNSAS has been operating under Government Emergency Ordinance no. 24, later assumed as law. (https://ro.wikipedia.org/wiki/Consiliul_Na%C8%9Bional_pentru_Studierea_Arhivelor_Securit%C4%83%C8%9Bii)",https://drive.google.com/open?id=1mpV9Zs3SP53NkA2H-ewZvG5jnHbVw3GU,As bureaucratic records during the abuse,"Truth, Reparations, and/or Memorialization Commissions",Forced disappearance; Arbitrary detention; Torture; Surveillance,Securitate; Communist dictatorship; Secret police; European Network of Official Authorities in Charge of Secret Police Files,44.43078991,26.1173161,http://www.cnsas.ro/index.html,No,Romanian,,Romania; Europe,"Strada Matei Basarab 55-57, București 030671, Romania",12/07/1999
